image_path,mask_path,label,class_name,rel,mask_area
data/ground_truth_seperate/images/sta_0394.png/Sta_0394__inst002.jpg,data/ground_truth_seperate/masks/sta_0394.png/Sta_0394__inst002.png,2,sta,sta_0394.png/Sta_0394__inst002.png,407
data/ground_truth_seperate/images/oil_0191.png/Oil_0191__inst000.jpg,data/ground_truth_seperate/masks/oil_0191.png/Oil_0191__inst000.png,0,oil,oil_0191.png/Oil_0191__inst000.png,3073
data/ground_truth_seperate/images/scr_0128.png/Scr_0128__inst000.jpg,data/ground_truth_seperate/masks/scr_0128.png/Scr_0128__inst000.png,1,scr,scr_0128.png/Scr_0128__inst000.png,1761
data/ground_truth_seperate/images/oil_0046.png/Oil_0046__inst001.jpg,data/ground_truth_seperate/masks/oil_0046.png/Oil_0046__inst001.png,0,oil,oil_0046.png/Oil_0046__inst001.png,28051
data/ground_truth_seperate/images/sta_0108.png/Sta_0108__inst004.jpg,data/ground_truth_seperate/masks/sta_0108.png/Sta_0108__inst004.png,2,sta,sta_0108.png/Sta_0108__inst004.png,880
data/ground_truth_seperate/images/sta_0370.png/Sta_0370__inst001.jpg,data/ground_truth_seperate/masks/sta_0370.png/Sta_0370__inst001.png,2,sta,sta_0370.png/Sta_0370__inst001.png,451
data/ground_truth_seperate/images/scr_0160.png/Scr_0160__inst002.jpg,data/ground_truth_seperate/masks/scr_0160.png/Scr_0160__inst002.png,1,scr,scr_0160.png/Scr_0160__inst002.png,3364
data/ground_truth_seperate/images/sta_0105.png/Sta_0105__inst001.jpg,data/ground_truth_seperate/masks/sta_0105.png/Sta_0105__inst001.png,2,sta,sta_0105.png/Sta_0105__inst001.png,880
data/ground_truth_seperate/images/sta_0315.png/Sta_0315__inst004.jpg,data/ground_truth_seperate/masks/sta_0315.png/Sta_0315__inst004.png,2,sta,sta_0315.png/Sta_0315__inst004.png,419
data/ground_truth_seperate/images/sta_0099.png/Sta_0099__inst000.jpg,data/ground_truth_seperate/masks/sta_0099.png/Sta_0099__inst000.png,2,sta,sta_0099.png/Sta_0099__inst000.png,342
data/ground_truth_seperate/images/sta_0149.png/Sta_0149__inst003.jpg,data/ground_truth_seperate/masks/sta_0149.png/Sta_0149__inst003.png,2,sta,sta_0149.png/Sta_0149__inst003.png,452
data/ground_truth_seperate/images/sta_0165.png/Sta_0165__inst003.jpg,data/ground_truth_seperate/masks/sta_0165.png/Sta_0165__inst003.png,2,sta,sta_0165.png/Sta_0165__inst003.png,710
data/ground_truth_seperate/images/scr_0380.png/Scr_0380__inst005.jpg,data/ground_truth_seperate/masks/scr_0380.png/Scr_0380__inst005.png,1,scr,scr_0380.png/Scr_0380__inst005.png,3351
data/ground_truth_seperate/images/scr_0277.png/Scr_0277__inst002.jpg,data/ground_truth_seperate/masks/scr_0277.png/Scr_0277__inst002.png,1,scr,scr_0277.png/Scr_0277__inst002.png,2670
data/ground_truth_seperate/images/sta_0180.png/Sta_0180__inst002.jpg,data/ground_truth_seperate/masks/sta_0180.png/Sta_0180__inst002.png,2,sta,sta_0180.png/Sta_0180__inst002.png,682
data/ground_truth_seperate/images/sta_0290.png/Sta_0290__inst001.jpg,data/ground_truth_seperate/masks/sta_0290.png/Sta_0290__inst001.png,2,sta,sta_0290.png/Sta_0290__inst001.png,389
data/ground_truth_seperate/images/scr_0062.png/Scr_0062__inst001.jpg,data/ground_truth_seperate/masks/scr_0062.png/Scr_0062__inst001.png,1,scr,scr_0062.png/Scr_0062__inst001.png,2557
data/ground_truth_seperate/images/scr_0068.png/Scr_0068__inst004.jpg,data/ground_truth_seperate/masks/scr_0068.png/Scr_0068__inst004.png,1,scr,scr_0068.png/Scr_0068__inst004.png,55
data/ground_truth_seperate/images/scr_0230.png/Scr_0230__inst001.jpg,data/ground_truth_seperate/masks/scr_0230.png/Scr_0230__inst001.png,1,scr,scr_0230.png/Scr_0230__inst001.png,497
data/ground_truth_seperate/images/sta_0210.png/Sta_0210__inst000.jpg,data/ground_truth_seperate/masks/sta_0210.png/Sta_0210__inst000.png,2,sta,sta_0210.png/Sta_0210__inst000.png,570
data/ground_truth_seperate/images/oil_0247.png/Oil_0247__inst001.jpg,data/ground_truth_seperate/masks/oil_0247.png/Oil_0247__inst001.png,0,oil,oil_0247.png/Oil_0247__inst001.png,6424
data/ground_truth_seperate/images/sta_0093.png/Sta_0093__inst000.jpg,data/ground_truth_seperate/masks/sta_0093.png/Sta_0093__inst000.png,2,sta,sta_0093.png/Sta_0093__inst000.png,568
data/ground_truth_seperate/images/sta_0078.png/Sta_0078__inst001.jpg,data/ground_truth_seperate/masks/sta_0078.png/Sta_0078__inst001.png,2,sta,sta_0078.png/Sta_0078__inst001.png,327
data/ground_truth_seperate/images/scr_0079.png/Scr_0079__inst000.jpg,data/ground_truth_seperate/masks/scr_0079.png/Scr_0079__inst000.png,1,scr,scr_0079.png/Scr_0079__inst000.png,3212
data/ground_truth_seperate/images/sta_0213.png/Sta_0213__inst003.jpg,data/ground_truth_seperate/masks/sta_0213.png/Sta_0213__inst003.png,2,sta,sta_0213.png/Sta_0213__inst003.png,554
data/ground_truth_seperate/images/sta_0387.png/Sta_0387__inst002.jpg,data/ground_truth_seperate/masks/sta_0387.png/Sta_0387__inst002.png,2,sta,sta_0387.png/Sta_0387__inst002.png,603
data/ground_truth_seperate/images/scr_0195.png/Scr_0195__inst000.jpg,data/ground_truth_seperate/masks/scr_0195.png/Scr_0195__inst000.png,1,scr,scr_0195.png/Scr_0195__inst000.png,2959
data/ground_truth_seperate/images/scr_0142.png/Scr_0142__inst004.jpg,data/ground_truth_seperate/masks/scr_0142.png/Scr_0142__inst004.png,1,scr,scr_0142.png/Scr_0142__inst004.png,2744
data/ground_truth_seperate/images/oil_0098.png/Oil_0098__inst000.jpg,data/ground_truth_seperate/masks/oil_0098.png/Oil_0098__inst000.png,0,oil,oil_0098.png/Oil_0098__inst000.png,18914
data/ground_truth_seperate/images/scr_0352.png/Scr_0352__inst004.jpg,data/ground_truth_seperate/masks/scr_0352.png/Scr_0352__inst004.png,1,scr,scr_0352.png/Scr_0352__inst004.png,4520
data/ground_truth_seperate/images/sta_0229.png/Sta_0229__inst000.jpg,data/ground_truth_seperate/masks/sta_0229.png/Sta_0229__inst000.png,2,sta,sta_0229.png/Sta_0229__inst000.png,263
data/ground_truth_seperate/images/sta_0061.png/Sta_0061__inst001.jpg,data/ground_truth_seperate/masks/sta_0061.png/Sta_0061__inst001.png,2,sta,sta_0061.png/Sta_0061__inst001.png,682
data/ground_truth_seperate/images/sta_0065.png/Sta_0065__inst000.jpg,data/ground_truth_seperate/masks/sta_0065.png/Sta_0065__inst000.png,2,sta,sta_0065.png/Sta_0065__inst000.png,448
data/ground_truth_seperate/images/scr_0377.png/Scr_0377__inst004.jpg,data/ground_truth_seperate/masks/scr_0377.png/Scr_0377__inst004.png,1,scr,scr_0377.png/Scr_0377__inst004.png,3500
data/ground_truth_seperate/images/sta_0015.png/Sta_0015__inst002.jpg,data/ground_truth_seperate/masks/sta_0015.png/Sta_0015__inst002.png,2,sta,sta_0015.png/Sta_0015__inst002.png,384
data/ground_truth_seperate/images/oil_0375.png/Oil_0375__inst000.jpg,data/ground_truth_seperate/masks/oil_0375.png/Oil_0375__inst000.png,0,oil,oil_0375.png/Oil_0375__inst000.png,40570
data/ground_truth_seperate/images/scr_0389.png/Scr_0389__inst006.jpg,data/ground_truth_seperate/masks/scr_0389.png/Scr_0389__inst006.png,1,scr,scr_0389.png/Scr_0389__inst006.png,3294
data/ground_truth_seperate/images/oil_0151.png/Oil_0151__inst000.jpg,data/ground_truth_seperate/masks/oil_0151.png/Oil_0151__inst000.png,0,oil,oil_0151.png/Oil_0151__inst000.png,3552
data/ground_truth_seperate/images/scr_0371.png/Scr_0371__inst001.jpg,data/ground_truth_seperate/masks/scr_0371.png/Scr_0371__inst001.png,1,scr,scr_0371.png/Scr_0371__inst001.png,2468
data/ground_truth_seperate/images/sta_0082.png/Sta_0082__inst001.jpg,data/ground_truth_seperate/masks/sta_0082.png/Sta_0082__inst001.png,2,sta,sta_0082.png/Sta_0082__inst001.png,491
data/ground_truth_seperate/images/sta_0249.png/Sta_0249__inst000.jpg,data/ground_truth_seperate/masks/sta_0249.png/Sta_0249__inst000.png,2,sta,sta_0249.png/Sta_0249__inst000.png,467
data/ground_truth_seperate/images/scr_0359.png/Scr_0359__inst001.jpg,data/ground_truth_seperate/masks/scr_0359.png/Scr_0359__inst001.png,1,scr,scr_0359.png/Scr_0359__inst001.png,2166
data/ground_truth_seperate/images/oil_0011.png/Oil_0011__inst000.jpg,data/ground_truth_seperate/masks/oil_0011.png/Oil_0011__inst000.png,0,oil,oil_0011.png/Oil_0011__inst000.png,326959
data/ground_truth_seperate/images/sta_0096.png/Sta_0096__inst000.jpg,data/ground_truth_seperate/masks/sta_0096.png/Sta_0096__inst000.png,2,sta,sta_0096.png/Sta_0096__inst000.png,409
data/ground_truth_seperate/images/scr_0036.png/Scr_0036__inst000.jpg,data/ground_truth_seperate/masks/scr_0036.png/Scr_0036__inst000.png,1,scr,scr_0036.png/Scr_0036__inst000.png,425
data/ground_truth_seperate/images/sta_0393.png/Sta_0393__inst000.jpg,data/ground_truth_seperate/masks/sta_0393.png/Sta_0393__inst000.png,2,sta,sta_0393.png/Sta_0393__inst000.png,270
data/ground_truth_seperate/images/sta_0121.png/Sta_0121__inst001.jpg,data/ground_truth_seperate/masks/sta_0121.png/Sta_0121__inst001.png,2,sta,sta_0121.png/Sta_0121__inst001.png,461
data/ground_truth_seperate/images/sta_0284.png/Sta_0284__inst000.jpg,data/ground_truth_seperate/masks/sta_0284.png/Sta_0284__inst000.png,2,sta,sta_0284.png/Sta_0284__inst000.png,338
data/ground_truth_seperate/images/sta_0333.png/Sta_0333__inst004.jpg,data/ground_truth_seperate/masks/sta_0333.png/Sta_0333__inst004.png,2,sta,sta_0333.png/Sta_0333__inst004.png,265
data/ground_truth_seperate/images/sta_0235.png/Sta_0235__inst001.jpg,data/ground_truth_seperate/masks/sta_0235.png/Sta_0235__inst001.png,2,sta,sta_0235.png/Sta_0235__inst001.png,264
data/ground_truth_seperate/images/scr_0234.png/Scr_0234__inst003.jpg,data/ground_truth_seperate/masks/scr_0234.png/Scr_0234__inst003.png,1,scr,scr_0234.png/Scr_0234__inst003.png,396
data/ground_truth_seperate/images/sta_0239.png/Sta_0239__inst001.jpg,data/ground_truth_seperate/masks/sta_0239.png/Sta_0239__inst001.png,2,sta,sta_0239.png/Sta_0239__inst001.png,290
data/ground_truth_seperate/images/scr_0380.png/Scr_0380__inst000.jpg,data/ground_truth_seperate/masks/scr_0380.png/Scr_0380__inst000.png,1,scr,scr_0380.png/Scr_0380__inst000.png,970
data/ground_truth_seperate/images/oil_0026.png/Oil_0026__inst000.jpg,data/ground_truth_seperate/masks/oil_0026.png/Oil_0026__inst000.png,0,oil,oil_0026.png/Oil_0026__inst000.png,67015
data/ground_truth_seperate/images/sta_0393.png/Sta_0393__inst002.jpg,data/ground_truth_seperate/masks/sta_0393.png/Sta_0393__inst002.png,2,sta,sta_0393.png/Sta_0393__inst002.png,535
data/ground_truth_seperate/images/scr_0263.png/Scr_0263__inst004.jpg,data/ground_truth_seperate/masks/scr_0263.png/Scr_0263__inst004.png,1,scr,scr_0263.png/Scr_0263__inst004.png,3153
data/ground_truth_seperate/images/oil_0025.png/Oil_0025__inst000.jpg,data/ground_truth_seperate/masks/oil_0025.png/Oil_0025__inst000.png,0,oil,oil_0025.png/Oil_0025__inst000.png,57678
data/ground_truth_seperate/images/scr_0055.png/Scr_0055__inst001.jpg,data/ground_truth_seperate/masks/scr_0055.png/Scr_0055__inst001.png,1,scr,scr_0055.png/Scr_0055__inst001.png,2201
data/ground_truth_seperate/images/scr_0329.png/Scr_0329__inst004.jpg,data/ground_truth_seperate/masks/scr_0329.png/Scr_0329__inst004.png,1,scr,scr_0329.png/Scr_0329__inst004.png,3361
data/ground_truth_seperate/images/scr_0023.png/Scr_0023__inst003.jpg,data/ground_truth_seperate/masks/scr_0023.png/Scr_0023__inst003.png,1,scr,scr_0023.png/Scr_0023__inst003.png,2514
data/ground_truth_seperate/images/sta_0156.png/Sta_0156__inst002.jpg,data/ground_truth_seperate/masks/sta_0156.png/Sta_0156__inst002.png,2,sta,sta_0156.png/Sta_0156__inst002.png,471
data/ground_truth_seperate/images/scr_0121.png/Scr_0121__inst001.jpg,data/ground_truth_seperate/masks/scr_0121.png/Scr_0121__inst001.png,1,scr,scr_0121.png/Scr_0121__inst001.png,2384
data/ground_truth_seperate/images/sta_0128.png/Sta_0128__inst001.jpg,data/ground_truth_seperate/masks/sta_0128.png/Sta_0128__inst001.png,2,sta,sta_0128.png/Sta_0128__inst001.png,363
data/ground_truth_seperate/images/sta_0002.png/Sta_0002__inst000.jpg,data/ground_truth_seperate/masks/sta_0002.png/Sta_0002__inst000.png,2,sta,sta_0002.png/Sta_0002__inst000.png,389
data/ground_truth_seperate/images/sta_0160.png/Sta_0160__inst002.jpg,data/ground_truth_seperate/masks/sta_0160.png/Sta_0160__inst002.png,2,sta,sta_0160.png/Sta_0160__inst002.png,540
data/ground_truth_seperate/images/scr_0382.png/Scr_0382__inst001.jpg,data/ground_truth_seperate/masks/scr_0382.png/Scr_0382__inst001.png,1,scr,scr_0382.png/Scr_0382__inst001.png,3887
data/ground_truth_seperate/images/scr_0142.png/Scr_0142__inst005.jpg,data/ground_truth_seperate/masks/scr_0142.png/Scr_0142__inst005.png,1,scr,scr_0142.png/Scr_0142__inst005.png,3042
data/ground_truth_seperate/images/sta_0227.png/Sta_0227__inst001.jpg,data/ground_truth_seperate/masks/sta_0227.png/Sta_0227__inst001.png,2,sta,sta_0227.png/Sta_0227__inst001.png,262
data/ground_truth_seperate/images/oil_0123.png/Oil_0123__inst000.jpg,data/ground_truth_seperate/masks/oil_0123.png/Oil_0123__inst000.png,0,oil,oil_0123.png/Oil_0123__inst000.png,10824
data/ground_truth_seperate/images/scr_0275.png/Scr_0275__inst001.jpg,data/ground_truth_seperate/masks/scr_0275.png/Scr_0275__inst001.png,1,scr,scr_0275.png/Scr_0275__inst001.png,2605
data/ground_truth_seperate/images/scr_0333.png/Scr_0333__inst001.jpg,data/ground_truth_seperate/masks/scr_0333.png/Scr_0333__inst001.png,1,scr,scr_0333.png/Scr_0333__inst001.png,1622
data/ground_truth_seperate/images/oil_0321.png/Oil_0321__inst001.jpg,data/ground_truth_seperate/masks/oil_0321.png/Oil_0321__inst001.png,0,oil,oil_0321.png/Oil_0321__inst001.png,21351
data/ground_truth_seperate/images/sta_0271.png/Sta_0271__inst002.jpg,data/ground_truth_seperate/masks/sta_0271.png/Sta_0271__inst002.png,2,sta,sta_0271.png/Sta_0271__inst002.png,464
data/ground_truth_seperate/images/sta_0191.png/Sta_0191__inst001.jpg,data/ground_truth_seperate/masks/sta_0191.png/Sta_0191__inst001.png,2,sta,sta_0191.png/Sta_0191__inst001.png,523
data/ground_truth_seperate/images/scr_0168.png/Scr_0168__inst000.jpg,data/ground_truth_seperate/masks/scr_0168.png/Scr_0168__inst000.png,1,scr,scr_0168.png/Scr_0168__inst000.png,740
data/ground_truth_seperate/images/sta_0280.png/Sta_0280__inst001.jpg,data/ground_truth_seperate/masks/sta_0280.png/Sta_0280__inst001.png,2,sta,sta_0280.png/Sta_0280__inst001.png,421
data/ground_truth_seperate/images/sta_0111.png/Sta_0111__inst000.jpg,data/ground_truth_seperate/masks/sta_0111.png/Sta_0111__inst000.png,2,sta,sta_0111.png/Sta_0111__inst000.png,399
data/ground_truth_seperate/images/oil_0076.png/Oil_0076__inst000.jpg,data/ground_truth_seperate/masks/oil_0076.png/Oil_0076__inst000.png,0,oil,oil_0076.png/Oil_0076__inst000.png,30514
data/ground_truth_seperate/images/sta_0310.png/Sta_0310__inst003.jpg,data/ground_truth_seperate/masks/sta_0310.png/Sta_0310__inst003.png,2,sta,sta_0310.png/Sta_0310__inst003.png,363
data/ground_truth_seperate/images/scr_0125.png/Scr_0125__inst000.jpg,data/ground_truth_seperate/masks/scr_0125.png/Scr_0125__inst000.png,1,scr,scr_0125.png/Scr_0125__inst000.png,2230
data/ground_truth_seperate/images/scr_0398.png/Scr_0398__inst000.jpg,data/ground_truth_seperate/masks/scr_0398.png/Scr_0398__inst000.png,1,scr,scr_0398.png/Scr_0398__inst000.png,888
data/ground_truth_seperate/images/oil_0273.png/Oil_0273__inst000.jpg,data/ground_truth_seperate/masks/oil_0273.png/Oil_0273__inst000.png,0,oil,oil_0273.png/Oil_0273__inst000.png,18734
data/ground_truth_seperate/images/scr_0221.png/Scr_0221__inst004.jpg,data/ground_truth_seperate/masks/scr_0221.png/Scr_0221__inst004.png,1,scr,scr_0221.png/Scr_0221__inst004.png,3077
data/ground_truth_seperate/images/sta_0157.png/Sta_0157__inst002.jpg,data/ground_truth_seperate/masks/sta_0157.png/Sta_0157__inst002.png,2,sta,sta_0157.png/Sta_0157__inst002.png,570
data/ground_truth_seperate/images/sta_0320.png/Sta_0320__inst004.jpg,data/ground_truth_seperate/masks/sta_0320.png/Sta_0320__inst004.png,2,sta,sta_0320.png/Sta_0320__inst004.png,539
data/ground_truth_seperate/images/scr_0160.png/Scr_0160__inst000.jpg,data/ground_truth_seperate/masks/scr_0160.png/Scr_0160__inst000.png,1,scr,scr_0160.png/Scr_0160__inst000.png,4119
data/ground_truth_seperate/images/sta_0171.png/Sta_0171__inst000.jpg,data/ground_truth_seperate/masks/sta_0171.png/Sta_0171__inst000.png,2,sta,sta_0171.png/Sta_0171__inst000.png,561
data/ground_truth_seperate/images/scr_0043.png/Scr_0043__inst000.jpg,data/ground_truth_seperate/masks/scr_0043.png/Scr_0043__inst000.png,1,scr,scr_0043.png/Scr_0043__inst000.png,2170
data/ground_truth_seperate/images/scr_0217.png/Scr_0217__inst005.jpg,data/ground_truth_seperate/masks/scr_0217.png/Scr_0217__inst005.png,1,scr,scr_0217.png/Scr_0217__inst005.png,3797
data/ground_truth_seperate/images/scr_0264.png/Scr_0264__inst004.jpg,data/ground_truth_seperate/masks/scr_0264.png/Scr_0264__inst004.png,1,scr,scr_0264.png/Scr_0264__inst004.png,2347
data/ground_truth_seperate/images/sta_0351.png/Sta_0351__inst001.jpg,data/ground_truth_seperate/masks/sta_0351.png/Sta_0351__inst001.png,2,sta,sta_0351.png/Sta_0351__inst001.png,319
data/ground_truth_seperate/images/sta_0163.png/Sta_0163__inst001.jpg,data/ground_truth_seperate/masks/sta_0163.png/Sta_0163__inst001.png,2,sta,sta_0163.png/Sta_0163__inst001.png,533
data/ground_truth_seperate/images/sta_0076.png/Sta_0076__inst002.jpg,data/ground_truth_seperate/masks/sta_0076.png/Sta_0076__inst002.png,2,sta,sta_0076.png/Sta_0076__inst002.png,313
data/ground_truth_seperate/images/scr_0203.png/Scr_0203__inst003.jpg,data/ground_truth_seperate/masks/scr_0203.png/Scr_0203__inst003.png,1,scr,scr_0203.png/Scr_0203__inst003.png,2250
data/ground_truth_seperate/images/oil_0395.png/Oil_0395__inst000.jpg,data/ground_truth_seperate/masks/oil_0395.png/Oil_0395__inst000.png,0,oil,oil_0395.png/Oil_0395__inst000.png,91368
data/ground_truth_seperate/images/sta_0109.png/Sta_0109__inst000.jpg,data/ground_truth_seperate/masks/sta_0109.png/Sta_0109__inst000.png,2,sta,sta_0109.png/Sta_0109__inst000.png,411
data/ground_truth_seperate/images/scr_0192.png/Scr_0192__inst000.jpg,data/ground_truth_seperate/masks/scr_0192.png/Scr_0192__inst000.png,1,scr,scr_0192.png/Scr_0192__inst000.png,2642
data/ground_truth_seperate/images/sta_0185.png/Sta_0185__inst000.jpg,data/ground_truth_seperate/masks/sta_0185.png/Sta_0185__inst000.png,2,sta,sta_0185.png/Sta_0185__inst000.png,836
data/ground_truth_seperate/images/sta_0294.png/Sta_0294__inst002.jpg,data/ground_truth_seperate/masks/sta_0294.png/Sta_0294__inst002.png,2,sta,sta_0294.png/Sta_0294__inst002.png,445
data/ground_truth_seperate/images/scr_0210.png/Scr_0210__inst002.jpg,data/ground_truth_seperate/masks/scr_0210.png/Scr_0210__inst002.png,1,scr,scr_0210.png/Scr_0210__inst002.png,2795
data/ground_truth_seperate/images/sta_0216.png/Sta_0216__inst002.jpg,data/ground_truth_seperate/masks/sta_0216.png/Sta_0216__inst002.png,2,sta,sta_0216.png/Sta_0216__inst002.png,387
data/ground_truth_seperate/images/scr_0041.png/Scr_0041__inst000.jpg,data/ground_truth_seperate/masks/scr_0041.png/Scr_0041__inst000.png,1,scr,scr_0041.png/Scr_0041__inst000.png,2098
data/ground_truth_seperate/images/scr_0034.png/Scr_0034__inst002.jpg,data/ground_truth_seperate/masks/scr_0034.png/Scr_0034__inst002.png,1,scr,scr_0034.png/Scr_0034__inst002.png,1562
data/ground_truth_seperate/images/scr_0281.png/Scr_0281__inst001.jpg,data/ground_truth_seperate/masks/scr_0281.png/Scr_0281__inst001.png,1,scr,scr_0281.png/Scr_0281__inst001.png,2328
data/ground_truth_seperate/images/scr_0249.png/Scr_0249__inst005.jpg,data/ground_truth_seperate/masks/scr_0249.png/Scr_0249__inst005.png,1,scr,scr_0249.png/Scr_0249__inst005.png,3311
data/ground_truth_seperate/images/scr_0280.png/Scr_0280__inst000.jpg,data/ground_truth_seperate/masks/scr_0280.png/Scr_0280__inst000.png,1,scr,scr_0280.png/Scr_0280__inst000.png,2592
data/ground_truth_seperate/images/oil_0269.png/Oil_0269__inst001.jpg,data/ground_truth_seperate/masks/oil_0269.png/Oil_0269__inst001.png,0,oil,oil_0269.png/Oil_0269__inst001.png,21520
data/ground_truth_seperate/images/scr_0156.png/Scr_0156__inst000.jpg,data/ground_truth_seperate/masks/scr_0156.png/Scr_0156__inst000.png,1,scr,scr_0156.png/Scr_0156__inst000.png,3698
data/ground_truth_seperate/images/scr_0017.png/Scr_0017__inst000.jpg,data/ground_truth_seperate/masks/scr_0017.png/Scr_0017__inst000.png,1,scr,scr_0017.png/Scr_0017__inst000.png,2608
data/ground_truth_seperate/images/scr_0387.png/Scr_0387__inst001.jpg,data/ground_truth_seperate/masks/scr_0387.png/Scr_0387__inst001.png,1,scr,scr_0387.png/Scr_0387__inst001.png,3851
data/ground_truth_seperate/images/scr_0387.png/Scr_0387__inst005.jpg,data/ground_truth_seperate/masks/scr_0387.png/Scr_0387__inst005.png,1,scr,scr_0387.png/Scr_0387__inst005.png,3533
data/ground_truth_seperate/images/scr_0223.png/Scr_0223__inst002.jpg,data/ground_truth_seperate/masks/scr_0223.png/Scr_0223__inst002.png,1,scr,scr_0223.png/Scr_0223__inst002.png,282
data/ground_truth_seperate/images/scr_0135.png/Scr_0135__inst000.jpg,data/ground_truth_seperate/masks/scr_0135.png/Scr_0135__inst000.png,1,scr,scr_0135.png/Scr_0135__inst000.png,1869
data/ground_truth_seperate/images/oil_0276.png/Oil_0276__inst000.jpg,data/ground_truth_seperate/masks/oil_0276.png/Oil_0276__inst000.png,0,oil,oil_0276.png/Oil_0276__inst000.png,35514
data/ground_truth_seperate/images/sta_0110.png/Sta_0110__inst001.jpg,data/ground_truth_seperate/masks/sta_0110.png/Sta_0110__inst001.png,2,sta,sta_0110.png/Sta_0110__inst001.png,389
data/ground_truth_seperate/images/scr_0254.png/Scr_0254__inst005.jpg,data/ground_truth_seperate/masks/scr_0254.png/Scr_0254__inst005.png,1,scr,scr_0254.png/Scr_0254__inst005.png,3136
data/ground_truth_seperate/images/scr_0052.png/Scr_0052__inst000.jpg,data/ground_truth_seperate/masks/scr_0052.png/Scr_0052__inst000.png,1,scr,scr_0052.png/Scr_0052__inst000.png,3013
data/ground_truth_seperate/images/oil_0329.png/Oil_0329__inst001.jpg,data/ground_truth_seperate/masks/oil_0329.png/Oil_0329__inst001.png,0,oil,oil_0329.png/Oil_0329__inst001.png,19410
data/ground_truth_seperate/images/scr_0180.png/Scr_0180__inst000.jpg,data/ground_truth_seperate/masks/scr_0180.png/Scr_0180__inst000.png,1,scr,scr_0180.png/Scr_0180__inst000.png,2660
data/ground_truth_seperate/images/oil_0224.png/Oil_0224__inst000.jpg,data/ground_truth_seperate/masks/oil_0224.png/Oil_0224__inst000.png,0,oil,oil_0224.png/Oil_0224__inst000.png,22592
data/ground_truth_seperate/images/oil_0266.png/Oil_0266__inst000.jpg,data/ground_truth_seperate/masks/oil_0266.png/Oil_0266__inst000.png,0,oil,oil_0266.png/Oil_0266__inst000.png,18617
data/ground_truth_seperate/images/sta_0073.png/Sta_0073__inst001.jpg,data/ground_truth_seperate/masks/sta_0073.png/Sta_0073__inst001.png,2,sta,sta_0073.png/Sta_0073__inst001.png,431
data/ground_truth_seperate/images/scr_0302.png/Scr_0302__inst004.jpg,data/ground_truth_seperate/masks/scr_0302.png/Scr_0302__inst004.png,1,scr,scr_0302.png/Scr_0302__inst004.png,3592
data/ground_truth_seperate/images/sta_0167.png/Sta_0167__inst000.jpg,data/ground_truth_seperate/masks/sta_0167.png/Sta_0167__inst000.png,2,sta,sta_0167.png/Sta_0167__inst000.png,708
data/ground_truth_seperate/images/oil_0050.png/Oil_0050__inst001.jpg,data/ground_truth_seperate/masks/oil_0050.png/Oil_0050__inst001.png,0,oil,oil_0050.png/Oil_0050__inst001.png,100
data/ground_truth_seperate/images/scr_0384.png/Scr_0384__inst000.jpg,data/ground_truth_seperate/masks/scr_0384.png/Scr_0384__inst000.png,1,scr,scr_0384.png/Scr_0384__inst000.png,2646
data/ground_truth_seperate/images/scr_0039.png/Scr_0039__inst004.jpg,data/ground_truth_seperate/masks/scr_0039.png/Scr_0039__inst004.png,1,scr,scr_0039.png/Scr_0039__inst004.png,1472
